order_item_id,order_id,item_id,quantity,price,special_instructions
48cb50e8-13e2-44d2-be8e-dc3bdd14a6b4,7315e7fd-f46a-449e-ad1d-6da3418b3a31,140e86d3-8e24-4634-9298-66963cd9286b,2,18.68,No onions please
525c6032-e58b-469f-bc50-f110c81d8f45,7315e7fd-f46a-449e-ad1d-6da3418b3a31,37951106-79f6-440b-803d-b18728cad3af,1,17.07,
4d2a5d92-1e91-4962-b144-b028def7cca4,7315e7fd-f46a-449e-ad1d-6da3418b3a31,9aaa2e19-1dbf-45a6-b356-838beca16a59,1,16.95,Gluten-free if possible
3177148a-e8c4-4e98-8b44-10afaf4ab165,68adf702-6722-48ed-a324-9e19b6d8228f,ac3f0b86-f633-4a94-a5d7-f0dc6c8f654f,2,5.0,
c7391692-b7b6-4c19-840e-81d9c8f64ac4,68adf702-6722-48ed-a324-9e19b6d8228f,90d5baf1-c37e-4867-8ba1-6509b1f1b2c4,1,18.93,Extra napkins please
65e6eb5b-2235-4384-8c95-9aa2ac094009,04d72c89-3635-400b-91be-cfbc6dad2259,8a764485-f491-4928-9318-3d935732c89a,1,15.73,
70ae6b95-49fd-4c66-9d66-a5652ad22d16,04d72c89-3635-400b-91be-cfbc6dad2259,ddb6cb9b-144c-4caf-9abe-716a59227c17,3,23.81,
2fd9b0e8-bc43-4337-b04a-e015978a7068,95525a57-11cd-497b-9f4c-3facc7fb2816,f3bc92d1-0840-473a-9aaa-a82ebce384e2,1,15.61,
cf63e503-e40c-4ae2-a286-fae403737e59,95525a57-11cd-497b-9f4c-3facc7fb2816,66266acf-1276-4098-be00-007ee71fab7e,2,29.63,Extra spicy
fb5e0a79-3267-47d1-bcc9-9ce6484ce5c3,95525a57-11cd-497b-9f4c-3facc7fb2816,f3bc92d1-0840-473a-9aaa-a82ebce384e2,4,15.61,
176b7a38-d7f2-4565-a891-01303919a0db,66614cb2-334b-4646-a7f9-7b18b35b63f9,2824034e-c1d4-420f-92e4-191a3a554f7a,3,12.16,Gluten-free if possible
d9f320c5-ffa3-4f11-b48c-9dc9c5cf5da7,66614cb2-334b-4646-a7f9-7b18b35b63f9,f39a86e5-0891-419c-96dc-6dceb44f8d31,1,9.65,
1b9e1d2e-236a-4b3d-9905-15727f10dc27,66614cb2-334b-4646-a7f9-7b18b35b63f9,f39a86e5-0891-419c-96dc-6dceb44f8d31,1,9.65,
6de8d600-1d7d-4a74-9ddb-468f32389966,66614cb2-334b-4646-a7f9-7b18b35b63f9,879b51cf-f934-4bf7-8ec1-4db73bf8e8d1,1,16.81,
1f2fa321-183d-4eca-8240-b39ef544e17d,ebc471b7-4ae8-49f8-a1cc-1827577733d1,98b20da7-eced-46dd-a455-809e36cd4c30,1,5.87,Gluten-free if possible
cd873c0a-c535-459a-9f3b-731338ccbcb9,ebc471b7-4ae8-49f8-a1cc-1827577733d1,272a65dd-315b-4f8a-96eb-72e3f046e056,1,9.26,
cce378b6-888a-4112-ad6c-39a7d5a51b8a,ebc471b7-4ae8-49f8-a1cc-1827577733d1,72df609a-d67a-4bc4-a677-9bcdfb622a32,4,5.47,
